A Revision of Philodendron Subgenus Philodendron (Araceae) for Mexico and Central America,Thomas,B,Croat,,Annals of the Missouri Botanical Garden,"Vol. 84, No. 3 (1997), pp. 311-704","Botany & Plant Sciences, Biological Sciences","philodendron, diam, spathe, specie, long, blade, vein, petiole, drying, apex, staminate, midrib, schott, cataphyll, lobe, weakly, grayum, green, paler, brenesii, reddish, surface, rio, locule, peduncle",0.9686
The Food of Titmice in Oak Woodland,Monica,M,Betts,,Journal of Animal Ecology,"Vol. 24, No. 2 (Nov., 1955), pp. 282-323","Zoology, Ecology & Evolutionary Biology, Biological Sciences","larva, titmouse, hemiptera, lepidoptera, insect, marsh, hymenoptera, coleoptera, specie, imago, spider, diptera, bird, pupa, sample, adult, gizzard, weevil, number, percentage, contain, take, common",0.9974
"Topic, Pronoun, and Agreement in Chicheŵa",Joan,,Bresnan,,Language,"Vol. 63, No. 4 (Dec., 1987), pp. 741-782","Linguistics, American Indian Studies","pronoun, anaphoric, topic, agreement, pronominal, object, grammatical, anaphorically, chiche, clause, incorporated, argument, function, discourse, hunter, subject, hyena, marker, terrorist, prefix, anaphora, nominal, focus, predicator, sentence",0.9237
"Topic, Pronoun, and Agreement in Chicheŵa",Sam,A,McHombo,,Language,"Vol. 63, No. 4 (Dec., 1987), pp. 741-782","Linguistics, American Indian Studies","pronoun, anaphoric, topic, agreement, pronominal, object, grammatical, anaphorically, chiche, clause, incorporated, argument, function, discourse, hunter, subject, hyena, marker, terrorist, prefix, anaphora, nominal, focus, predicator, sentence",0.9237
"The Supreme Court, 1986 Term",Martha,,Minow,,Harvard Law Review,"Vol. 101, No. 1 (Nov., 1987), pp. 7-370",Law,"supra, court, statute, judge, takeover, difference, shareholder, justice, category, perspective, corp, rev, supreme, indiana, challenge, litigant, mite, commitment, passivity, foreword, discussing, reality, legal, ioi, target",0.8675
"The Supreme Court, 1986 Term",Donald,C,Langevoort,,Harvard Law Review,"Vol. 101, No. 1 (Nov., 1987), pp. 7-370",Law,"supra, court, statute, judge, takeover, difference, shareholder, justice, category, perspective, corp, rev, supreme, indiana, challenge, litigant, mite, commitment, passivity, foreword, discussing, reality, legal, ioi, target",0.8675
Meaningful Phonological Processes: A Consideration of Central Alaskan Yupik Eskimo Prosody,Anthony,C,Woodbury,,Language,"Vol. 63, No. 4 (Dec., 1987), pp. 685-740","Linguistics, American Indian Studies","phonological, phonology, syllable, footing, unary, prosodic, binary, rule, articulation, gemination, expressive, intonational, meaningful, grammar, meaning, process, prosody, double, lexical, syntax, syntactic, phonetic, structure, optional",0.6337
"The Supreme Court, 1991 Term",Kathleen,M,Sullivan,,Harvard Law Review,"Vol. 106, No. 1 (Nov., 1992), pp. 19-161+163-385",Law,"rule, justice, standard, speech, court, iskcon, abortion, supra, conservative, balancing, concurring, connor, casey, liberal, political, roe, scalia, constitutional, opinion, kennedy, judicial, state, favor, rightholders, test",0.798
"The Supreme Court, 1991 Term",Akhil,Reed,Amar,,Harvard Law Review,"Vol. 106, No. 1 (Nov., 1992), pp. 19-161+163-385",Law,"rule, justice, standard, speech, court, iskcon, abortion, supra, conservative, balancing, concurring, connor, casey, liberal, political, roe, scalia, constitutional, opinion, kennedy, judicial, state, favor, rightholders, test",0.798
Sex and Death in the Rational World of Defense Intellectuals,Carol,,Cohn,,Signs,"Vol. 12, No. 4, Within and Without: Women, Gender, and Theory (Summer, 1987), pp. 687-718","Technology, Feminist & Women's Studies, Political Science","nuclear, weapon, defense, missile, feminist, imagery, bomb, warhead, strategic, intellectual, language, pat, atomic, summer, neutron, sexual, clean, deterrence, world, virginity, teller, power, woman",0.99
"The Supreme Court, 1985 Term",Frank,I,Michelman,,Harvard Law Review,"Vol. 100, No. 1 (Nov., 1986), pp. 1-98+100-311",Law,"affirmative, court, discrimination, concurring, wygant, action, firefighter, powell, white, justice, fullilove, worker, racial, layoff, dissenting, sin, plurality, nonvictims, union, blackmun, black, opinion, brennan, burger, minority",0.9171
"The Supreme Court, 1985 Term",Kathleen,M,Sullivan,,Harvard Law Review,"Vol. 100, No. 1 (Nov., 1986), pp. 1-98+100-311",Law,"affirmative, court, discrimination, concurring, wygant, action, firefighter, powell, white, justice, fullilove, worker, racial, layoff, dissenting, sin, plurality, nonvictims, union, blackmun, black, opinion, brennan, burger, minority",0.9171
The Discourse Basis of Ergativity,John,W,Du Bois,,Language,"Vol. 63, No. 4 (Dec., 1987), pp. 805-855","Linguistics, American Indian Studies","lexical, clause, discourse, grammatical, intransitive, transitive, argument, ergative, ergativity, mention, constraint, absolutive, speaker, information, oblique, referent, intonation, chafe, semantic, pattern, syntactic, affix, grammar, pragmatic, corpus",0.9322
The Reproductive Cycle of Some British Freshwater Gammaridae,H,B. N,Hynes,,Journal of Animal Ecology,"Vol. 24, No. 2 (Nov., 1955), pp. 352-387","Zoology, Ecology & Evolutionary Biology, Aquatic Sciences, Biological Sciences","female, specimen, pulex, male, gammaru, kinne, sample, breeding, ovigerou, lacustri, mature, rest, specie, sexton, fasciatu, brood, pouch, temperature, maturity, winter, curly, hertfordshire, bristle, anglesey",0.9891
Miscarriages of Justice in Potentially Capital Cases,Hugo,Adam,Bedau,,Stanford Law Review,"Vol. 40, No. 1 (Nov., 1987), pp. 21-179",Law,"innocent, capital, penalty, punishment, death, miscarriage, case, wrongful, executing, cala, conviction, execute, justice, error, convict, defendant, crime, abolish, markman, vandiv, execution, veatch",0.8124
Miscarriages of Justice in Potentially Capital Cases,Michael,L,Radelet,,Stanford Law Review,"Vol. 40, No. 1 (Nov., 1987), pp. 21-179",Law,"innocent, capital, penalty, punishment, death, miscarriage, case, wrongful, executing, cala, conviction, execute, justice, error, convict, defendant, crime, abolish, markman, vandiv, execution, veatch",0.8124
"The Supreme Court, 1983 Term",Frank,H,Easterbrook,,Harvard Law Review,"Vol. 98, No. 1 (Nov., 1984), pp. 1-85+87-314",Law,"court, amendment, pennhurst, sentencing, justice, attainder, federal, nonregistrants, spaziano, state, opinion, aid, supreme, proportionality, selective, harris, statute, government, marshall, constitutional, jury, death, solomon, plurality, eleventh",0.8922
"The Supreme Court, 1983 Term",David,L,Shapiro,,Harvard Law Review,"Vol. 98, No. 1 (Nov., 1984), pp. 1-85+87-314",Law,"court, amendment, pennhurst, sentencing, justice, attainder, federal, nonregistrants, spaziano, state, opinion, aid, supreme, proportionality, selective, harris, statute, government, marshall, constitutional, jury, death, solomon, plurality, eleventh",0.8922
"The Supreme Court, 1982 Term",Robert,M,Cover,,Harvard Law Review,"Vol. 97, No. 1 (Nov., 1983), pp. 1-68+70-306",Law,"court, abortion, bearden, defendant, akron, justice, insanity, connor, ashcroft, roe, sentencing, imprisonment, state, requirement, powell, acquittees, fine, trimester, jones, indigent, protection, commitment, supra, criminal, dissenting",0.9864
"The Supreme Court, 1987 Term",Richard,A,Epstein,,Harvard Law Review,"Vol. 102, No. 1 (Nov., 1988), pp. 1-141+143-358",Law,"sherbert, abortion, religious, clause, benefit, redistribution, worker, religion, unconstitutional, subsidy, unemployment, tax, court, justice, amish, constitutional, statute, government, state, program, brennan, exercise, system, case, medicaid",0.6858
